set,size,algorithm,coins
190,2190,changedp,20
191,2191,changegreedy,21
191,2191,changedp,21
192,2192,changegreedy,22
192,2192,changedp,19
193,2193,changegreedy,18
193,2193,changedp,18
194,2194,changegreedy,19
194,2194,changedp,19
195,2195,changegreedy,20
195,2195,changedp,20
196,2196,changegreedy,21
196,2196,changedp,21
197,2197,changegreedy,22
197,2197,changedp,22
198,2198,changegreedy,23
198,2198,changedp,20
199,2199,changegreedy,19
199,2199,changedp,19
200,2200,changegreedy,18
200,2200,changedp,18
0,2000,changegreedy,67
0,2000,changedp,67
1,2001,changegreedy,68
1,2001,changedp,68
2,2002,changegreedy,67
2,2002,changedp,67
3,2003,changegreedy,68
3,2003,changedp,68
4,2004,changegreedy,67
4,2004,changedp,67
5,2005,changegreedy,68
5,2005,changedp,68
6,2006,changegreedy,67
6,2006,changedp,67
7,2007,changegreedy,68
7,2007,changedp,68
8,2008,changegreedy,67
8,2008,changedp,67
9,2009,changegreedy,68
9,2009,changedp,68
10,2010,changegreedy,67
10,2010,changedp,67
11,2011,changegreedy,68
11,2011,changedp,68
12,2012,changegreedy,68
12,2012,changedp,68
13,2013,changegreedy,69
13,2013,changedp,69
14,2014,changegreedy,68
14,2014,changedp,68
15,2015,changegreedy,69
15,2015,changedp,69
16,2016,changegreedy,68
16,2016,changedp,68
17,2017,changegreedy,69
17,2017,changedp,69
18,2018,changegreedy,68
18,2018,changedp,68
19,2019,changegreedy,69
19,2019,changedp,69
20,2020,changegreedy,68
20,2020,changedp,68
21,2021,changegreedy,69
21,2021,changedp,69
22,2022,changegreedy,68
22,2022,changedp,68
23,2023,changegreedy,69
23,2023,changedp,69
24,2024,changegreedy,68
24,2024,changedp,68
25,2025,changegreedy,69
25,2025,changedp,69
26,2026,changegreedy,68
26,2026,changedp,68
27,2027,changegreedy,69
27,2027,changedp,69
28,2028,changegreedy,68
28,2028,changedp,68
29,2029,changegreedy,69
29,2029,changedp,69
30,2030,changegreedy,68
30,2030,changedp,68
31,2031,changegreedy,69
31,2031,changedp,69
32,2032,changegreedy,68
32,2032,changedp,68
33,2033,changegreedy,69
33,2033,changedp,69
