set,size,algorithm,timing
48,2048,changegreedy,0.013828277587890625
48,2048,changedp,17.078876495361328
49,2049,changegreedy,0.016927719116210938
49,2049,changedp,15.706777572631836
50,2050,changegreedy,0.02384185791015625
50,2050,changedp,24.82318878173828
51,2051,changegreedy,0.03504753112792969
51,2051,changedp,16.73603057861328
52,2052,changegreedy,0.013828277587890625
52,2052,changedp,16.988039016723633
53,2053,changegreedy,0.015020370483398438
53,2053,changedp,15.07711410522461
54,2054,changegreedy,0.027894973754882812
54,2054,changedp,17.113924026489258
55,2055,changegreedy,0.014066696166992188
55,2055,changedp,15.27714729309082
56,2056,changegreedy,0.029087066650390625
56,2056,changedp,15.321969985961914
57,2057,changegreedy,0.013113021850585938
57,2057,changedp,15.877962112426758
58,2058,changegreedy,0.015974044799804688
58,2058,changedp,15.204906463623047
59,2059,changegreedy,0.012159347534179688
59,2059,changedp,16.051054000854492
60,2060,changegreedy,0.012874603271484375
60,2060,changedp,15.287160873413086
61,2061,changegreedy,0.013113021850585938
61,2061,changedp,19.20795440673828
62,2062,changegreedy,0.017881393432617188
62,2062,changedp,17.132997512817383
63,2063,changegreedy,0.015020370483398438
63,2063,changedp,15.540838241577148
64,2064,changegreedy,0.015020370483398438
64,2064,changedp,17.264127731323242
65,2065,changegreedy,0.01811981201171875
65,2065,changedp,16.615867614746094
66,2066,changegreedy,0.01811981201171875
66,2066,changedp,15.889883041381836
67,2067,changegreedy,0.014066696166992188
67,2067,changedp,16.933917999267578
68,2068,changegreedy,0.03409385681152344
68,2068,changedp,18.477916717529297
69,2069,changegreedy,0.0171661376953125
69,2069,changedp,15.547037124633789
70,2070,changegreedy,0.012874603271484375
70,2070,changedp,16.131162643432617
71,2071,changegreedy,0.014781951904296875
71,2071,changedp,16.33906364440918
72,2072,changegreedy,0.01811981201171875
72,2072,changedp,15.41900634765625
73,2073,changegreedy,0.012874603271484375
73,2073,changedp,16.494035720825195
74,2074,changegreedy,0.015020370483398438
74,2074,changedp,14.532089233398438
75,2075,changegreedy,0.014066696166992188
75,2075,changedp,16.239166259765625
76,2076,changegreedy,0.015020370483398438
76,2076,changedp,16.42608642578125
77,2077,changegreedy,0.01811981201171875
77,2077,changedp,15.902996063232422
78,2078,changegreedy,0.015020370483398438
78,2078,changedp,17.46511459350586
79,2079,changegreedy,0.01811981201171875
79,2079,changedp,15.40684700012207
80,2080,changegreedy,0.03719329833984375
80,2080,changedp,15.817880630493164
81,2081,changegreedy,0.01811981201171875
81,2081,changedp,16.8609619140625
82,2082,changegreedy,0.0209808349609375
82,2082,changedp,24.232149124145508
83,2083,changegreedy,0.018835067749023438
83,2083,changedp,17.82393455505371
84,2084,changegreedy,0.02002716064453125
84,2084,changedp,16.086101531982422
85,2085,changegreedy,0.015020370483398438
85,2085,changedp,15.877008438110352
86,2086,changegreedy,0.0171661376953125
86,2086,changedp,15.400886535644531
87,2087,changegreedy,0.014066696166992188
87,2087,changedp,17.551898956298828
88,2088,changegreedy,0.02288818359375
88,2088,changedp,19.40011978149414
89,2089,changegreedy,0.03695487976074219
89,2089,changedp,23.048877716064453
90,2090,changegreedy,0.015974044799804688
90,2090,changedp,16.427993774414062
91,2091,changegreedy,0.013828277587890625
91,2091,changedp,15.500783920288086
92,2092,changegreedy,0.027894973754882812
92,2092,changedp,20.02692222595215
93,2093,changegreedy,0.015974044799804688
93,2093,changedp,16.199111938476562
94,2094,changegreedy,0.01621246337890625
94,2094,changedp,15.585184097290039
95,2095,changegreedy,0.013113021850585938
95,2095,changedp,16.602039337158203
96,2096,changegreedy,0.015020370483398438
96,2096,changedp,15.741109848022461
97,2097,changegreedy,0.013113021850585938
97,2097,changedp,16.08896255493164
98,2098,changegreedy,0.016927719116210938
98,2098,changedp,16.121864318847656
99,2099,changegreedy,0.03504753112792969
99,2099,changedp,18.79096031188965
100,2100,changegreedy,0.015974044799804688
100,2100,changedp,19.7298526763916
101,2101,changegreedy,0.015974044799804688
101,2101,changedp,16.31021499633789
102,2102,changegreedy,0.016927719116210938
102,2102,changedp,15.7928466796875
103,2103,changegreedy,0.013828277587890625
103,2103,changedp,16.373157501220703
104,2104,changegreedy,0.021219253540039062
104,2104,changedp,15.949010848999023
105,2105,changegreedy,0.025033950805664062
105,2105,changedp,15.789985656738281
106,2106,changegreedy,0.013828277587890625
106,2106,changedp,19.30999755859375
107,2107,changegreedy,0.015974044799804688
107,2107,changedp,15.792131423950195
108,2108,changegreedy,0.011920928955078125
108,2108,changedp,18.062829971313477
109,2109,changegreedy,0.015974044799804688
109,2109,changedp,16.35909080505371
110,2110,changegreedy,0.015020370483398438
110,2110,changedp,15.75613021850586
111,2111,changegreedy,0.015020370483398438
111,2111,changedp,16.418933868408203
112,2112,changegreedy,0.015974044799804688
112,2112,changedp,16.089916229248047
113,2113,changegreedy,0.026941299438476562
113,2113,changedp,15.964031219482422
114,2114,changegreedy,0.024080276489257812
114,2114,changedp,17.149925231933594
115,2115,changegreedy,0.015974044799804688
115,2115,changedp,15.677928924560547
116,2116,changegreedy,0.029087066650390625
116,2116,changedp,16.275882720947266
117,2117,changegreedy,0.015020370483398438
117,2117,changedp,16.43204689025879
118,2118,changegreedy,0.015974044799804688
118,2118,changedp,15.902996063232422
119,2119,changegreedy,0.014066696166992188
119,2119,changedp,17.381906509399414
120,2120,changegreedy,0.016927719116210938
120,2120,changedp,15.030145645141602
121,2121,changegreedy,0.03910064697265625
121,2121,changedp,20.730018615722656
122,2122,changegreedy,0.014066696166992188
122,2122,changedp,16.9069766998291
123,2123,changegreedy,0.017881393432617188
123,2123,changedp,15.937089920043945
124,2124,changegreedy,0.030994415283203125
124,2124,changedp,16.07990264892578
125,2125,changegreedy,0.015020370483398438
125,2125,changedp,16.775131225585938
126,2126,changegreedy,0.015974044799804688
126,2126,changedp,15.909194946289062
127,2127,changegreedy,0.013828277587890625
127,2127,changedp,17.41790771484375
128,2128,changegreedy,0.025987625122070312
128,2128,changedp,20.611047744750977
129,2129,changegreedy,0.0209808349609375
129,2129,changedp,16.3729190826416
130,2130,changegreedy,0.027179718017578125
130,2130,changedp,16.76177978515625
131,2131,changegreedy,0.013828277587890625
131,2131,changedp,16.62898063659668
132,2132,changegreedy,0.015020370483398438
132,2132,changedp,16.33000373840332
133,2133,changegreedy,0.015974044799804688
133,2133,changedp,18.18394660949707
134,2134,changegreedy,0.0171661376953125
134,2134,changedp,16.482114791870117
135,2135,changegreedy,0.015974044799804688
135,2135,changedp,16.0520076751709
136,2136,changegreedy,0.014066696166992188
136,2136,changedp,16.674041748046875
137,2137,changegreedy,0.018835067749023438
137,2137,changedp,22.051095962524414
138,2138,changegreedy,0.03218650817871094
138,2138,changedp,16.46590232849121
139,2139,changegreedy,0.015974044799804688
139,2139,changedp,16.468048095703125
140,2140,changegreedy,0.02384185791015625
140,2140,changedp,15.79594612121582
141,2141,changegreedy,0.014066696166992188
141,2141,changedp,16.84117317199707
142,2142,changegreedy,0.014066696166992188
142,2142,changedp,15.825033187866211
143,2143,changegreedy,0.028848648071289062
143,2143,changedp,16.423940658569336
144,2144,changegreedy,0.014781951904296875
144,2144,changedp,16.302824020385742
145,2145,changegreedy,0.025987625122070312
145,2145,changedp,16.304969787597656
146,2146,changegreedy,0.014066696166992188
146,2146,changedp,16.7849063873291
147,2147,changegreedy,0.015020370483398438
147,2147,changedp,16.17598533630371
148,2148,changegreedy,0.03504753112792969
148,2148,changedp,15.889167785644531
149,2149,changegreedy,0.017881393432617188
149,2149,changedp,21.409988403320312
150,2150,changegreedy,0.015020370483398438
150,2150,changedp,19.4089412689209
151,2151,changegreedy,0.02002716064453125
151,2151,changedp,16.693115234375
152,2152,changegreedy,0.030040740966796875
152,2152,changedp,17.300128936767578
153,2153,changegreedy,0.014066696166992188
153,2153,changedp,16.41702651977539
154,2154,changegreedy,0.03504753112792969
154,2154,changedp,16.28899574279785
155,2155,changegreedy,0.013828277587890625
155,2155,changedp,17.200946807861328
156,2156,changegreedy,0.015974044799804688
156,2156,changedp,16.021013259887695
157,2157,changegreedy,0.011920928955078125
157,2157,changedp,16.464948654174805
158,2158,changegreedy,0.01621246337890625
158,2158,changedp,16.609907150268555
159,2159,changegreedy,0.019073486328125
159,2159,changedp,16.35289192199707
160,2160,changegreedy,0.011920928955078125
160,2160,changedp,16.8459415435791
161,2161,changegreedy,0.013828277587890625
161,2161,changedp,16.117095947265625
162,2162,changegreedy,0.034809112548828125
162,2162,changedp,16.456127166748047
163,2163,changegreedy,0.01621246337890625
163,2163,changedp,17.726898193359375
164,2164,changegreedy,0.015974044799804688
164,2164,changedp,21.43096923828125
165,2165,changegreedy,0.019073486328125
165,2165,changedp,17.456769943237305
166,2166,changegreedy,0.015020370483398438
166,2166,changedp,16.576051712036133
167,2167,changegreedy,0.022172927856445312
167,2167,changedp,17.235994338989258
168,2168,changegreedy,0.015974044799804688
