set,size,algorithm,timing,n
29,2029,changegreedy,0.01502037,5
29,2029,changedp,12.38703728,5
30,2030,changegreedy,0.020980835,5
30,2030,changedp,17.81988144,5
31,2031,changegreedy,0.014066696,5
31,2031,changedp,12.64095306,5
32,2032,changegreedy,0.021934509,5
32,2032,changedp,12.11690903,5
33,2033,changegreedy,0.011920929,5
33,2033,changedp,12.25590706,5
34,2034,changegreedy,0.020027161,5
34,2034,changedp,12.5348568,5
35,2035,changegreedy,0.020980835,5
35,2035,changedp,15.64598083,5
36,2036,changegreedy,0.025033951,5
36,2036,changedp,12.36200333,5
37,2037,changegreedy,0.01502037,5
37,2037,changedp,12.68911362,5
38,2038,changegreedy,0.020027161,5
38,2038,changedp,12.1409893,5
39,2039,changegreedy,0.013113022,5
39,2039,changedp,12.36319542,5
40,2040,changegreedy,0.021934509,5
40,2040,changedp,12.73298264,5
41,2041,changegreedy,0.013828278,5
41,2041,changedp,12.3269558,5
42,2042,changegreedy,0.020980835,5
42,2042,changedp,12.7351284,5
43,2043,changegreedy,0.014066696,5
43,2043,changedp,12.55011559,5
44,2044,changegreedy,0.021934509,5
44,2044,changedp,12.68601418,5
45,2045,changegreedy,0.012874603,5
45,2045,changedp,17.62413979,5
46,2046,changegreedy,0.027894974,5
46,2046,changedp,12.55989075,5
47,2047,changegreedy,0.027894974,5
47,2047,changedp,20.57409286,5
48,2048,changegreedy,0.025033951,5
48,2048,changedp,12.10093498,5
49,2049,changegreedy,0.01502037,5
49,2049,changedp,16.299963,5
50,2050,changegreedy,0.014066696,5
50,2050,changedp,12.12596893,5
51,2051,changegreedy,0.030040741,5
51,2051,changedp,11.88898087,5
52,2052,changegreedy,0.017881393,5
52,2052,changedp,12.40086555,5
53,2053,changegreedy,0.030040741,5
53,2053,changedp,12.26401329,5
54,2054,changegreedy,0.012874603,5
54,2054,changedp,12.42995262,5
55,2055,changegreedy,0.030994415,5
55,2055,changedp,17.55595207,5
56,2056,changegreedy,0.014066696,5
56,2056,changedp,14.58001137,5
57,2057,changegreedy,0.01502037,5
57,2057,changedp,13.641119,5
58,2058,changegreedy,0.013113022,5
58,2058,changedp,13.93389702,5
59,2059,changegreedy,0.019073486,5
59,2059,changedp,12.2718811,5
60,2060,changegreedy,0.014066696,5
60,2060,changedp,12.44807243,5
61,2061,changegreedy,0.021934509,5
61,2061,changedp,12.40301132,5
62,2062,changegreedy,0.011920929,5
62,2062,changedp,12.35890388,5
63,2063,changegreedy,0.021219254,5
63,2063,changedp,17.95315742,5
64,2064,changegreedy,0.021934509,5
64,2064,changedp,17.13204384,5
65,2065,changegreedy,0.027894974,5
65,2065,changedp,12.37607002,5
66,2066,changegreedy,0.015974045,5
66,2066,changedp,20.9031105,5
67,2067,changegreedy,0.01502037,5
67,2067,changedp,13.59605789,5
68,2068,changegreedy,0.022888184,5
68,2068,changedp,13.94891739,5
69,2069,changegreedy,0.011920929,5
69,2069,changedp,12.72797585,5
70,2070,changegreedy,0.023841858,5
70,2070,changedp,11.98601723,5
71,2071,changegreedy,0.016927719,5
71,2071,changedp,18.74494553,5
72,2072,changegreedy,0.04196167,5
72,2072,changedp,12.50886917,5
73,2073,changegreedy,0.029087067,5
73,2073,changedp,21.30413055,5
74,2074,changegreedy,0.033140182,5
74,2074,changedp,14.93906975,5
75,2075,changegreedy,0.013828278,5
75,2075,changedp,13.24391365,5
76,2076,changegreedy,0.019073486,5
76,2076,changedp,12.71700859,5
77,2077,changegreedy,0.012874603,5
77,2077,changedp,12.73488998,5
78,2078,changegreedy,0.032901764,5
78,2078,changedp,12.92991638,5
79,2079,changegreedy,0.01502037,5
79,2079,changedp,12.70294189,5
80,2080,changegreedy,0.018119812,5
80,2080,changedp,13.16285133,5
81,2081,changegreedy,0.012874603,5
81,2081,changedp,12.5169754,5
82,2082,changegreedy,0.024080276,5
82,2082,changedp,13.00096512,5
83,2083,changegreedy,0.01502037,5
83,2083,changedp,12.51387596,5
84,2084,changegreedy,0.023126602,5
84,2084,changedp,13.72098923,5
85,2085,changegreedy,0.013828278,5
85,2085,changedp,12.4669075,5
86,2086,changegreedy,0.022888184,5
86,2086,changedp,13.74697685,5
87,2087,changegreedy,0.014066696,5
87,2087,changedp,12.4669075,5
88,2088,changegreedy,0.023126602,5
88,2088,changedp,15.63501358,5
89,2089,changegreedy,0.01502037,5
89,2089,changedp,12.86411285,5
90,2090,changegreedy,0.020027161,5
90,2090,changedp,13.41199875,5
91,2091,changegreedy,0.014066696,5
91,2091,changedp,12.38393784,5
92,2092,changegreedy,0.020980835,5
92,2092,changedp,13.21196556,5
93,2093,changegreedy,0.01502037,5
93,2093,changedp,12.66288757,5
94,2094,changegreedy,0.027179718,5
94,2094,changedp,12.39395142,5
95,2095,changegreedy,0.014066696,5
95,2095,changedp,12.72201538,5
96,2096,changegreedy,0.020027161,5
96,2096,changedp,13.18597794,5
97,2097,changegreedy,0.012874603,5
97,2097,changedp,12.60209084,5
98,2098,changegreedy,0.023126602,5
98,2098,changedp,12.57801056,5
99,2099,changegreedy,0.013113022,5
99,2099,changedp,12.64095306,5
100,2100,changegreedy,0.022172928,5
100,2100,changedp,14.52088356,5
101,2101,changegreedy,0.015974045,5
101,2101,changedp,13.07201385,5
102,2102,changegreedy,0.054836273,5
102,2102,changedp,12.90798187,5
103,2103,changegreedy,0.017166138,5
103,2103,changedp,12.57610321,5
104,2104,changegreedy,0.023126602,5
104,2104,changedp,12.98999786,5
105,2105,changegreedy,0.01502037,5
105,2105,changedp,12.63999939,5
106,2106,changegreedy,0.020980835,5
106,2106,changedp,16.17288589,5
107,2107,changegreedy,0.020027161,5
107,2107,changedp,19.99092102,5
108,2108,changegreedy,0.01502037,5
108,2108,changedp,13.5409832,5
109,2109,changegreedy,0.016927719,5
109,2109,changedp,14.62101936,5
110,2110,changegreedy,0.01502037,5
110,2110,changedp,12.55393028,5
111,2111,changegreedy,0.028848648,5
111,2111,changedp,12.62593269,5
112,2112,changegreedy,0.01502037,5
112,2112,changedp,12.73608208,5
113,2113,changegreedy,0.020027161,5
113,2113,changedp,15.65599442,5
114,2114,changegreedy,0.012874603,5
114,2114,changedp,12.72392273,5
115,2115,changegreedy,0.023126602,5
115,2115,changedp,12.88700104,5
116,2116,changegreedy,0.013113022,5
116,2116,changedp,12.6991272,5
117,2117,changegreedy,0.021934509,5
117,2117,changedp,12.91799545,5
118,2118,changegreedy,0.015974045,5
118,2118,changedp,12.81619072,5
119,2119,changegreedy,0.024080276,5
119,2119,changedp,13.02599907,5
120,2120,changegreedy,0.014066696,5
120,2120,changedp,12.74299622,5
121,2121,changegreedy,0.022888184,5
121,2121,changedp,17.01498032,5
122,2122,changegreedy,0.014066696,5
122,2122,changedp,12.97497749,5
123,2123,changegreedy,0.025987625,5
123,2123,changedp,12.69316673,5
124,2124,changegreedy,0.021934509,5
124,2124,changedp,20.23005486,5
125,2125,changegreedy,0.025033951,5
125,2125,changedp,12.47000694,5
126,2126,changegreedy,0.015974045,5
126,2126,changedp,13.71002197,5
127,2127,changegreedy,0.015974045,5
127,2127,changedp,12.76803017,5
128,2128,changegreedy,0.011920929,5
128,2128,changedp,12.63809204,5
129,2129,changegreedy,0.020027161,5
129,2129,changedp,12.89391518,5
130,2130,changegreedy,0.027894974,5
130,2130,changedp,14.63413239,5
131,2131,changegreedy,0.013828278,5
131,2131,changedp,13.4871006,5
132,2132,changegreedy,0.026941299,5
132,2132,changedp,16.00694656,5
133,2133,changegreedy,0.01502037,5
133,2133,changedp,13.4510994,5
134,2134,changegreedy,0.028133392,5
134,2134,changedp,14.03617859,5
135,2135,changegreedy,0.012159348,5
135,2135,changedp,13.52310181,5
136,2136,changegreedy,0.016927719,5
136,2136,changedp,12.7530098,5
137,2137,changegreedy,0.015974045,5
137,2137,changedp,13.3368969,5
138,2138,changegreedy,0.029087067,5
138,2138,changedp,12.62187958,5
139,2139,changegreedy,0.01502037,5
139,2139,changedp,18.04089546,5
140,2140,changegreedy,0.030040741,5
140,2140,changedp,14.22309875,5
141,2141,changegreedy,0.033855438,5
141,2141,changedp,14.18113708,5
142,2142,changegreedy,0.014066696,5
142,2142,changedp,12.77303696,5
143,2143,changegreedy,0.030040741,5
143,2143,changedp,15.05613327,5
144,2144,changegreedy,0.01502037,5
144,2144,changedp,13.03482056,5
145,2145,changegreedy,0.020980835,5
145,2145,changedp,13.1649971,5
146,2146,changegreedy,0.017166138,5
146,2146,changedp,13.03696632,5
147,2147,changegreedy,0.020980835,5
